民國年,西元年,住宿及照顧福利機構家數[家],住宿及照顧福利機構核定服務人數[人],住宿及照顧福利機構實際服務人數[人],福利服務中心家數[家],福利服務中心服務人次[人次],日間及住宿式照顧補助人次[人次],日間及住宿式照顧補助金額[元],生活補助人次[人次],生活補助金額[元],輔具補助人次[人次],輔具補助金額[元],職業訓練結訓人數[人],職業訓練男性結訓人數[人],職業訓練女性結訓人數[人],職業輔導評量服務人次[人次],職業輔導評量男性人次[人次],職業輔導評量女性人次[人次],求職登記人數[人],求職登記人數/男性[人],求職登記人數/女性[人],輔導就業人數[人],輔導就業人數/男性[人],輔導就業人數/女性[人],職場手語翻譯申請案件數[件],職場手語翻譯時間[小時],職場手語翻譯服務人次[人次],職場手語翻譯服務男性人次[人次],職場手語翻譯服務女性人次[人次],職場聽打服務/申請案件數[件],職場聽打服務時間[小時],職場聽打服務人次[人次],職場聽打男性服務人次[人次],職場聽打女性服務人次[人次],醫療及醫療輔具補助人次[人次],醫療及醫療輔具補助金額[元]
84年,1995,20,-,1142,5,-,862,37007518,25653,123629720,3064,67958515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85年,1996,24,-,1417,-,-,1142,91367929,51868,265961218,3754,59513472,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86年,1997,23,-,1709,7,7694,4464,68788296,27593,168770548,4708,63790107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87年,1998,28,-,1351,6,6758,9876,174731400,27776,160737510,6918,82575662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88年,1999,28,775,1468,6,32763,4588,158774563,24820,140545519,6756,91165386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89年,2000,,1723,1396,6,28765,8014,405985325,34954,200025278,6939,90801878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90年,2001,28,1841,1565,7,21966,12022,613709172,39507,226988264,13272,120072479,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91年,2002,37,2068,1575,7,18286,13361,683857039,46426,260783050,12577,116029058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92年,2003,47,2103,1743,7,13880,14630,732591017,54338,284047475,11779,107883715,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93年,2004,46,2142,1978,7,44184,12862,596227191,79575,442101489,12183,112397175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94年,2005,44,2161,2031,6,69785,13323,567746993,88050,463121103,8059,75756940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95年,2006,45,2242,2075,6,75706,15006,575093412,82079,453011835,8779,83586709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96年,2007,44,2254,2101,5,97853,11845,530348362,84404,461378990,9311,84546637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97年,2008,43,2310,2082,4,23563,12532,629298222,87400,478890887,9813,92571409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98年,2009,43,2436,2176,4,16161,14282,677897043,100988,555969502,11448,100592211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99年,2010,43,2436,2216,4,21184,15574,745310746,119098,632296987,12913,110030717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100年,2011,43,2426,2134,3,22359,17269,885733255,133473,698782757,13461,120503733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101年,2012,41,2396,2145,4,53834,18197,965652889,145432,886671441,13777,128348653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102年,2013,42,2466,2120,4,34367,20346,1068974334,153890,931870934,10114,78267283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103年,2014,41,2451,2200,4,29551,21133,1157684823,158908,955890472,11607,85451695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104年,2015,42,2480,2276,4,9588,21921,1208106201,163200,973132352,11813,84549734,125,74,51,251,146,105,1079,610,469,602,330,272,531,2528,917,-,-,-,-,-,-,-,1353,20608103
105年,2016,42,2424,2298,2,98116,22211,1223864793,165214,1015161720,12131,85613656,79,40,39,219,132,87,1065,611,454,593,409,184,479,2283.5,872,515,357,118,529.5,121,58,63,1766,17570630
106年,2017,42,2371,2262,2,48685,23270,1306917858,166512,1022467570,12215,87374378,138,84,54,260,153,107,996,577,419,623,347,276,543,2442,881,522,359,106,782,128,44,84,1304,16232954
107年,2018,42,2339,2253,2,13405,24212,1317663133,168023,1038353913,11647,86944152,128,74,54,246,157,89,955,574,381,518,298,220,570,2391.5,937,558,379,169,1252.5,196,55,141,1004,9738934
108年,2019,41,2305,2145,2,15001,22356,1257701052,171710,1064596341,9219,74646983,125,78,47,242,155,87,914,558,356,597,369,228,558,2249.5,935,617,318,119,1374,103,45,58,1875,10583268
109年,2020,40,2281,2149,2,62584,23850,1355874069,175174,1128426662,7757,67300469,80,54,26,235,131,104,957,546,411,581,324,257,579,2829,874,518,356,84,694,90,26,64,3556,11980039
110年,2021,40,2291,2114,2,-,23567,1345237599,177569,1138270772,7064,61302756,102,60,42,227,129,98,807,438,369,468,272,196,420,1433,530,322,208,85,289,105,37,68,3046,11257475
111年,2022,40,2253,2007,2,-,22869,1301424240,173902,1125117575,7377,67322015,81,56,25,194,108,86,893,494,399,487,265,222,423,1760.5,658,414,244,93,483,101,36,65,1807,10076531
