OBJECTID,code,name,attr,type,town,address,tel,fax,x,y,lon,lat,is_accessi
"1",B01010001,崇愛發展中心,公設民營,住宿機構,中和區,新北市中和區正行里7鄰圓通路143-1號,(02)2246-0821,(02)2247-0360,300361.96875000000,2765326.25000000000,121.49890900000,24.99508858000,是
"2",B01010001,崇愛發展中心,公設民營,住宿機構,中和區,新北市中和區正行里7鄰圓通路143-1號,(02)2246-0821,(02)2247-0360,300361.96875000000,2765326.25000000000,121.49890900000,24.99508858000,是
"3",B01010002,臺北市三玉啟能中心,公設民營,住宿機構,士林區,臺北市士林區忠誠路二段53巷7號3、4、7樓,(02)8866-5931,(02)8866-5930,303689.90625000000,2778225.00000000000,121.53237915000,25.11142349000,是
"4",B01010003,臺北市永福之家,公設民營,住宿機構,士林區,臺北市士林區永福里5鄰莊頂路2號,(02)2861-1381#2011,(02)2862-1793,305415.18750000000,2778159.00000000000,121.54947662000,25.11076546000,否
"5",B01010004,臺北市立陽明教養院(華岡院區),公立,住宿機構,士林區,臺北市士林區陽明里8鄰凱旋路61巷4弄9號,(02)2861-1380,(02)2861-8004,304569.59375000000,2780859.00000000000,121.54120636000,25.13517189000,否
"6",B01010005,臺北市私立聖安娜之家,私立,住宿機構,士林區,臺北市士林區中山北路七段181巷1號,(02)2871-4397,(02)2871-1920,303668.00000000000,2779673.00000000000,121.53221130000,25.12449646000,是
"7",B01010006,臺北市大龍養護中心,公設民營,住宿機構,大同區,臺北市大同區民族西路105號1-3樓,(02)2587-5879,(02)2587-5729,302167.90625000000,2773499.00000000000,121.51710510000,25.06881142000,是
"9",B01010008,臺北市弘愛服務中心,公設民營,住宿機構,中正區,臺北市中正區濟南路二段46號四樓,(02)2393-7655,(02)2321-6338,303572.18750000000,2770352.00000000000,121.53089905000,25.04035187000,是
"10",B01010009,臺北市私立創世清寒植物人安養院,私立,住宿機構,中正區,臺北市中正區北平東路28號2樓,(02)2397-0101,(02)3393-1539,303012.50000000000,2770960.00000000000,121.52537537000,25.04586029000,是
"11",B01010010,臺北市金龍發展中心,公設民營,住宿機構,內湖區,臺北市內湖區金龍路136-1號,(02)2793-3059,(02)8792-9217,309513.59375000000,2775410.00000000000,121.58999634000,25.08579254000,是
