序號,行政區,屬性,機構名稱,機構類型,地址,Lng(TWD97),Lat(TWD97),x,y
1,北投區,公設民營,臺北市永明發展中心(兼辦早療服務),日間服務,臺北市北投區石牌路2段115號4-6F,302195.321,2778977.583,121.5175846,25.11827035
2,中正區,公設民營,臺北市弘愛服務中心,住宿服務,臺北市中正區濟南路2段46號4樓,303572.205,2770352.14,121.5309018,25.04035245
3,中正區,公設民營,臺北市城中發展中心(兼辦早療服務),日間服務,臺北市中正區汀州路2段172號,302688.25,2768511.501,121.5220717,25.02376626
4,南港區,公設民營,臺北市東明扶愛家園,住宿服務,臺北市南港區南港路2段38巷8弄1號,310969.778,2772012.515,121.6042824,25.055062
5,中山區,公設民營,臺北市博愛發展中心,日間服務,臺北市中山區敬業三路160號,306150.467,2774702.217,121.5566289,25.07953094
6,信義區,公設民營,臺北市恆愛發展中心,日間服務,臺北市信義區松隆路36號6樓,307268.31,2770703.992,121.5675435,25.04339354
7,文山區,公設民營,臺北市萬芳啟能中心,日間服務,臺北市文山區萬美街1段51號1樓,307382.347,2766152.594,121.5684843,25.00229962
8,文山區,公設民營,臺北市萬芳發展中心(兼辦早療服務),日間服務,臺北市文山區萬美街1段55號2樓,307345.293,2766157.284,121.5681174,25.00234336
9,內湖區,公設民營,臺北市金龍發展中心,住宿服務,臺北市內湖區金龍路136之1號,309513.599,2775409.541,121.5899974,25.08578775
10,士林區,私立,臺北市私立聖安娜之家,住宿服務,臺北市士林區中山北路7段181巷1號,303668.047,2779672.754,121.5322153,25.12449454
11,北投區,私立,臺北市私立育成裕民發展中心,日間服務,臺北市北投區裕民一路41巷2弄18號,302291.652,2778806.122,121.5185333,25.11671909
12,中山區,私立,臺北市私立陽光重建中心,日間服務,臺北市中山區南京東路3段91號3樓,304380.742,2771662.697,121.5389659,25.05215521
13,萬華區,私立,臺北市私立育仁啟能中心,日間服務,臺北市萬華區柳州街41號4樓,300998.413,2770134.308,121.5053882,25.03847481
14,萬華區,私立,臺北市私立育仁兒童發展中心(兼辦早療服務),日間服務,臺北市萬華區萬大路387巷15號,300428.634,2768322.697,121.4996757,25.02213868
15,中山區,私立,臺北市私立心路兒童發展中心(兼辦早療服務),日間服務,臺北市中山區復興北路232號,304878.577,2772226.808,121.5439222,25.05722997
16,信義區,私立,臺北市私立第一兒童發展中心(兼辦早療服務),日間服務,臺北市信義區信義路5段150巷316號,307483.804,2768879.037,121.569603,25.02690987
17,士林區,私立,臺北市私立自立社區學園,日間服務,臺北市士林區德行西路93巷7號B1-1,302533.862,2777494.899,121.5208848,25.10487311
18,內湖區,私立,臺北市私立婦幼家園(兼辦早療服務),日間服務,臺北市內湖區民權東路六段180巷42弄6號,309757.995,2773367.651,121.5923315,25.06734431
19,北投區,私立,臺北市私立至德聽語中心(提供早療服務),日間服務,臺北市北投區振興街45號(健康大樓3樓),302681.293,2778898.838,121.5224005,25.11754255
20,信義區,私立,臺北市私立永愛發展中心,住宿服務,臺北市信義區信義路5段150巷316號3-6樓,307483.804,2768879.037,121.569603,25.02690987
21,松山區,公設民營,臺北市慈祐發展中心,日間服務,臺北市松山區八德路4段688號3-4樓,308207.686,2771424.162,121.576883,25.04985929
22,大同區,公設民營,臺北市大同發展中心(兼辦早療服務),日間服務,臺北市大同區昌吉街52號6-7樓,302092.076,2773166.875,121.5163406,25.06581542
23,中正區,公設民營,臺北市南海發展中心,日間服務,臺北市中正區延平南路207號1樓,301230.478,2769516.078,121.5076649,25.0328856
24,士林區,暫無,士林失能身障日照中心,身障社區長照機構(日間照顧),臺北市士林區後港街189號一樓,302549.449,2775631.191,121.5209681,25.08804722
25,中山區,暫無,臺北市中山身障社區式長照機構（日間照顧）,身障社區長照機構(日間照顧),臺北市中山區長安西路5弄2號四樓,302601.337,2771395.571,121.5213206,25.04980656
26,松山區,暫無,臺北市民生身障社區式長照機構（日間照顧）,身障社區長照機構(日間照顧),臺北市松山區民生東路五段163之1號七樓,306793.184,2772462.583,121.5629076,25.05928781
27,信義區,暫無,臺北市信義身障社區式長照機構（日間照顧）,身障社區長照機構(日間照顧),臺北市信義區信義路五段15號五樓,307207.876,2769568.711,121.5668975,25.03314664
28,中和區,公設民營,崇愛發展中心,住宿機構,新北市中和區正行里7鄰圓通路143-1號,300361.9688,2765326.25,121.498909,24.99508858
29,中和區,公設民營,崇愛發展中心,住宿機構,新北市中和區正行里7鄰圓通路143-1號,300361.9688,2765326.25,121.498909,24.99508858
