ID,行政區,公園名稱,無障礙出入口名稱,TW97座標X,TW97座標Y,人行道寬度,坡度
1,萬華區,青年公園,1號出入口,301105.53,2768259.85,1.8,8
2,萬華區,青年公園,2號出入口,301159.52,2768691.35,19.6,3
3,萬華區,青年公園,3號出入口,300742.59,2768400.4,15.2,0
4,萬華區,青年公園,4號出入口,300816.7,2768152.96,12.5,3
5,萬華區,和平青草園,1號出入口,300167.62,2769519.08,2.2,5
6,萬華區,和平青草園,2號出入口,300164.55,2769432.8,1.8,7
7,萬華區,艋舺公園,1號出入口,300398.4,2769794.08,11.2,6
8,萬華區,艋舺公園,2號出入口,300401.56,2769925.99,9,2
9,萬華區,日善公園,1號出入口,300101.61,2768763.82,3.45,6
10,萬華區,日善公園,2號出入口,300081.84,2768802.52,2.94,8
11,萬華區,日善公園,3號出入口,300130.75,2768825.85,2.3,7
12,萬華區,壽德公園,1號出入口,300569.83,2768595.7,2.1,8
13,萬華區,桂林公園,1號出入口,300139,2770198.92,11.6,4
14,萬華區,華西公園,1號出入口,300305.75,2770144.9,4.3,3
15,萬華區,華西公園,2號出入口,300360.16,2770143.35,2.2,5
16,萬華區,青山公園,1號出入口,300295.58,2770249.2,1.8,7
17,萬華區,西園公園,1號出入口,300232.24,2768864.28,2,6
18,萬華區,西園公園,2號出入口,300272.38,2768833.33,1.6,1
19,萬華區,西園公園,3號出入口,300271.62,2768818.12,1.6,7
20,萬華區,長沙公園,1號出入口,300465.34,2770502.06,3.2,3
21,萬華區,長沙公園,2號出入口,300464.76,2770476.22,1.9,6
22,萬華區,長沙公園,3號出入口,300446.34,2770479.38,2,1
23,萬華區,福星公園,1號出入口,301033.4,2770969.93,0.9,5
24,萬華區,福星公園,2號出入口,301043.54,2771009.53,3.2,2
25,萬華區,福星公園,3號出入口,301061.18,2770963.52,3.3,4
26,萬華區,寺前公園,1號出入口,300387.6,2769587.43,1.5,1
27,萬華區,老松公園,1號出入口,300735.2,2770118.52,2,1
28,萬華區,老松公園,2號出入口,300757.36,2770162.75,2,4
29,萬華區,老松公園,3號出入口,300728.55,2770119.83,2.6,6
30,萬華區,柳鄉公園,1號出入口,299999.79,2769978.43,2.2,7
31,萬華區,華江一號公園,1號出入口,299787.6,2769835.97,1.8,4
32,萬華區,華江二號公園,1號出入口,299854.45,2769838.37,1.4,6
33,萬華區,華江二號公園,2號出入口,299859.04,2769840.67,1.9,4
34,萬華區,大理公園,1號出入口,299816.65,2769662.95,3,0
35,萬華區,大理公園,2號出入口,299793.66,2769653.83,1.5,1
36,萬華區,糖?公園,1號出入口,299910.8,2769704,3.6,7
37,萬華區,糖?公園,2號出入口,299915.64,2769675.62,1.6,3
38,萬華區,聚德公園,1號出入口,299906.64,2769729.16,13,6
39,萬華區,聚德公園,2號出入口,299926.64,2769738.11,2.7,1
40,萬華區,糖?文化園區公園,1號出入口,299937.88,2769619.38,3.9,8
41,萬華區,糖?文化園區公園,2號出入口,299917.05,2769616.34,5.9,8
42,萬華區,糖?文化園區公園,3號出入口,299875.66,2769608.92,7.9,1
43,萬華區,糖?文化園區公園,4號出入口,299858.04,2769543.18,5,4
44,萬華區,糖?文化園區公園,5號出入口,299950.53,2769528.3,2,5
45,萬華區,綠堤公園,1號出入口,299718.1,2769560.86,1.4,5
46,萬華區,綠堤公園,2號出入口,299765.56,2769536,0.9,4
47,萬華區,華江八號公園,1號出入口,299737.61,2769630.25,1.5,2
48,萬華區,華江八號公園,2號出入口,299696.63,2769658.37,1.5,3
49,萬華區,華江八號公園,3號出入口,299729.69,2769648.26,2.1,1
50,萬華區,長順公園,1號出入口,299369.63,2769392.32,1.8,5
51,萬華區,東園公園,1號出入口,299979.02,2768202,1.9,6
52,萬華區,東園公園,2號出入口,299976.52,2768182.6,2.2,4
53,萬華區,東園公園,3號出入口,299993.28,2768189.13,2.1,7
54,萬華區,保德公園,1號出入口,300186.53,2768409.48,1,1
55,萬華區,孝德公園,1號出入口,299886.84,2768535.02,1.5,8
56,萬華區,孝德公園,2號出入口,299856.55,2768527.51,1.5,5
