"統計期","幼兒園所數[家]","幼兒園可收托人數[人]","私立兒童課後照顧服務中心所數[家]","私立兒童課後照顧服務中心招收人數[人]","托嬰中心所數[所]","托嬰中心可收托人數[人]","育幼院所數[家]","育幼院實際收容人數[人]","身心障礙人數[人]","身心障礙福利機構數[家]","身心障礙生活補助金額[千元]"
"87年 1月",353,23892,0,0,0,0,10,741,0,0,0
"87年 2月",353,21087,0,0,0,0,10,739,0,0,0
"87年 3月",365,24588,0,0,0,0,10,732,68010,0,0
"87年 4月",373,24504,0,0,0,0,10,734,0,0,0
"87年 5月",383,24868,0,0,0,0,10,741,0,0,0
"87年 6月",379,23212,0,0,0,0,10,658,70545,0,0
"87年 7月",298,22195,0,0,0,0,10,651,0,0,0
"87年 8月",407,22661,0,0,0,0,11,646,0,0,0
"87年 9月",419,26067,0,0,0,0,10,726,73518,0,0
"87年 10月",435,26248,0,0,0,0,10,719,0,0,0
"87年 11月",436,26274,0,0,0,0,10,716,0,0,0
"87年 12月",442,26748,0,0,0,0,10,717,76033,34,160738
"88年 1月",445,26872,0,0,0,0,10,718,0,0,0
"88年 2月",454,25223,0,0,0,0,10,738,0,0,0
"88年 3月",459,27510,0,0,0,0,10,741,77651,0,43235
"88年 4月",466,27766,0,0,0,0,10,747,0,0,0
"88年 5月",473,26947,0,0,0,0,10,747,0,0,0
"88年 6月",477,26851,0,0,0,0,10,654,77955,33,15196
"88年 7月",484,25682,0,0,0,0,10,649,0,0,0
"88年 8月",484,25365,0,0,0,0,10,643,0,0,0
"88年 9月",487,28301,0,0,0,0,10,725,76560,0,30858
"88年 10月",498,29098,0,0,0,0,10,727,0,0,0
"88年 11月",504,29598,0,0,0,0,10,727,0,0,0
"88年 12月",508,29797,0,0,0,0,10,720,78482,34,51257
"89年 1月",513,4770,0,0,0,0,10,720,0,0,0
"89年 2月",522,28201,0,0,0,0,10,740,0,0,0
"89年 3月",533,30625,0,0,0,0,10,745,81746,0,51257
"89年 4月",539,32976,0,0,0,0,9,733,0,0,0
"89年 5月",545,31300,0,0,0,0,9,735,0,0,0
"89年 6月",565,32236,0,0,0,0,9,644,84257,36,49889
"89年 7月",570,29856,0,0,0,0,9,634,0,0,0
"89年 8月",568,29631,0,0,0,0,9,626,0,0,0
"89年 9月",570,32609,0,0,0,0,9,721,86150,0,51687
"89年 10月",508,32991,428,20188,0,0,9,719,0,0,0
