序號,名稱,地址,電話,無障礙友善說明,Longitude,Latitude
1,石尚自然探索屋-動物園店,臺北市立動物園大門廣場 (動物園出口前) 臺北市新光路二段30號,02-2936-4035,輪椅進出及通行無障礙,121.5818769,24.99900243
3,石尚自然探索屋-雨林店,臺北市立動物園亞洲熱帶雨林區出口 臺北市新光路二段30號,02-2939-9833,輪椅進出及通行無障礙 ,121.5830741,24.99636279
6,石尚自然探索屋 -HIPPO SHOP,臺北市立動物園大門廣場 (動物園出口前) 臺北市新光路二段30號,02-8661-0070,輪椅進出及通行無障礙 ,121.5818769,24.99900243
7,AN58西班牙創意料理 承德店,臺北市士林區承德路四段29號,02-2885-1029,輪椅進出及通行無障礙 ,121.522472,25.0804589
8,on the road 義式手工冰淇淋專賣店,臺北市士林區忠誠路二段136號,02-2875-2717,輪椅進出及通行無障礙,121.5321839,25.11424303
9,巫記青蛙下蛋-士林店,臺北市士林區文林路114巷1號 (陽明戲院對面日新眼鏡巷內),02-2880-3788,輪椅進出及通行無障礙 ,121.5260706,25.0882968
10,陽明春天陽明山總店 『心五藝文創園區』,臺北市士林區菁山路119-1號,02-2862-0178,輪椅進出及通行無障礙,121.5593192,25.1441722
11,樂活式單車館,臺北市士林區承德路四段69號,02-2885-2172,輪椅進出及通行無障礙 ,121.5232873,25.08182153
12,小春樓滷味,臺北市大同區南京西路161號,02-2559-3648,輪椅進出及通行無障礙,121.5133498,25.0541112
13,老桂坊,臺北市大同區迪化街一段46巷12號,02-2555-9355,輪椅進出及通行無障礙 ,121.509665,25.054929
14,紀物書館DOCUMENTARY,臺北市大同區南京西路155巷17號1樓,02-2555-8785,輪椅進出及通行無障礙 ,121.5136066,25.05461508
15,夏樹甜品,臺北市大同區迪化街一段240號,02-2553-6580,輪椅進出及通行無障礙,121.5092838,25.05996796
16,黃長生藥行,臺北市大同區迪化街一段134號,02-2553-2156,輪椅進出及通行無障礙 ,121.5097178,25.05729137
17,塔可商行,臺北市大同區迪化街一段14巷22號,0910-196-446,輪椅進出及通行無障礙,121.509582,25.0541439
18,新驛旅店台北車站二館,臺北市大同區長安西路81-83號,02-2555-5577,輪椅進出及通行無障礙 ,121.5166121,25.0511524
19,歐點歐式餐酒館,臺北市中山區玉門街一號(MAJI square 集食行樂),02-2585-1550,輪椅進出及通行無障礙 ,121.5223573,25.0697557
20,神農市場,臺北市中山區玉門街一號(MAJI square 集食行樂),02-2597-7126,輪椅進出及通行無障礙 ,121.520461,25.0704569
21,喜瑞飯店,臺北市中山區長安東路一段64號,02-2541-0077,輪椅進出及通行無障礙 ,121.529374,25.047901
22,新驛旅店復興北路店,臺北市中山區復興北路338號,02-2515-8777,輪椅進出及通行無障礙 ,121.5439933,25.05953045
23,Easy coffee,臺北市中正區忠孝東路一段58號B1,02-2395-6102,輪椅進出及通行無障礙 ,121.5231079,25.0445758
24,三創 GBT,臺北市中正區市民大道三段2號6樓,02 3322 1391,輪椅進出及通行無障礙,121.5311294,25.0454897
25,天龍圖書-簡體字專賣店,臺北市中正區重慶南路一段57號2樓,02-2381-2033,輪椅進出及通行無障礙 ,121.5133879,25.0446169
26,李氏手工坊,臺北市中正區市民大道一段100號(臺北地下街84B店鋪),02-2555-8348,輪椅進出及通行無障礙 ,121.514477,25.049008
27,良品牛肉麵,臺北市中正區開封街一段10號,02-2371-2644,輪椅進出及通行無障礙,121.5138986,25.045886
28,旅樂序精品旅館 - 站前五館,臺北市中正區重慶南路一段20號,02-2375-6777,輪椅進出及通行無障礙 ,121.5131232,25.0461971
29,第一眼鏡,臺北市中正區重慶南路一段68號1樓,02-2382-2222,輪椅進出及通行無障礙,121.5131186,25.04364389
30,喬翊電器有限公司,臺北中正區博愛路22號1F,02-2381-2626,輪椅進出及通行無障礙 ,121.5111847,25.0463629
31,華山文旅,臺北市中正區金山北路1號,02-2396-3388,輪椅進出及通行無障礙,121.5304393,25.0442097
32,遠東百貨寶慶店,臺北市中正區寶慶路32號,02-2381-6088,輪椅進出及通行無障礙 ,121.5089709,25.0414776
33,阿義師的大茶壺茶餐廳,臺北市文山區指南路三段38巷37-1號1樓,02-2939-5615,輪椅進出及通行無障礙,121.591771,24.968691
34,紅木屋休閒茶館,臺北市文山區指南路三段38巷33號,02-2939-9706,輪椅進出及通行無障礙 ,121.590704,24.9671039
35,日勝生加賀屋國際溫泉飯店股份有限公司,臺北市北投區光明路236號,02-2891-1111,輪椅進出及通行無障礙,121.5068018,25.1360318
36,北投老爺酒店,臺北市北投區中和街2號,02-2896-9777,輪椅進出及通行無障礙,121.4971923,25.1444869
37,北投熱海溫泉大飯店,臺北市北投區光明路258號,02-2891-5161,輪椅進出及通行無障礙 ,121.5092275,25.1365758
38,北投麗禧溫泉酒店,臺北市北投區幽雅路30號,02-2898-8888,輪椅進出及通行無障礙,121.5150358,25.1378365
39,溫泉小舖,臺北市北投區大同街202-4號,02-2898-2698,輪椅進出及通行無障礙 ,121.4992715,25.137926
40,小公館人文旅舍,臺北市松山區南京東路五段399號5樓,02-2769-0200,輪椅進出及通行無障礙 ,121.5696568,25.05151345
41,裕珍馨(饒河店),臺北市松山區饒河街189號,02-2742-0869,輪椅進出及通行無障礙 ,121.5759674,25.05059683
42,三寶神明用品,臺北市萬華區內江街168號1樓,02-2388-8859,輪椅進出及通行無障礙 ,121.500747,25.041736
43,西園29服飾創作基地,臺北市萬華區西園路二段9號,02-2336-7599,輪椅進出及通行無障礙 ,121.4981766,25.03243468
44,阿猜嬤甜湯,臺北市萬華區華西街3號,02-2361-8697,輪椅進出及通行無障礙,121.4986876,25.0398604
45,臺北市立天文科學教育館,臺北市士林區基河路363號,02-28314551#551,輪椅進出及通行無障礙 ,121.5183001,25.09582981
46,石尚自然探索屋-恐龍餐廳,臺北市中正區襄陽路25號2樓,02-2382-5665,輪椅進出及通行無障礙 ,121.5141637,25.0435651
47,石尚自然探索屋-臺博本館店,臺北市中正區襄陽路2號,02-2311-2558,輪椅進出及通行無障礙,121.51503,25.042902
48,阮的肉干-台北車站專櫃,臺北市中正區北平西路3號1樓,02-2361-0027,輪椅進出及通行無障礙 ,121.5173735,25.047702
49,新東陽站前三越店,臺北市中正區忠孝西路一段66號B2,02-2382-4959,輪椅進出及通行無障礙,121.515325,25.0461278
50,新驛旅店台北車站一館,臺北市中正區懷寧街7號,02-2314-8008,輪椅進出及通行無障礙 ,121.5142878,25.04627039
51,21工房,臺北市大同區酒泉街10巷25號,02-2585-1913,輪椅進出及通行無障礙,121.5196623,25.0698689
52,ＭＪ鐵道模型,臺北市大同區酒泉街31號1樓,02-2585-9491,輪椅進出及通行無障礙 ,121.5191627,25.0707339
53,六安堂參藥行,臺北市大同區迪化街一段75號,02-2559-8599,輪椅進出及通行無障礙,121.5100172,25.0561161
54,大橋町目米食館,臺北市大同區延平北路三段124號,02-2585-3129,輪椅進出及通行無障礙 ,121.5108146,25.06751041
55,台北互舍酒店,臺北市大同區重慶北路二段172號,02-25533919,輪椅進出及通行無障礙,121.5134573,25.05937462
56,竹木造咖,臺北市大同區迪化街一段161號,02-2553-0482,輪椅進出及通行無障礙 ,121.509681,25.058494
57,新驛旅店台北車站三館,臺北市大同區長安西路77號,02-7732-7777,輪椅進出及通行無障礙,121.5167032,25.051078
58,聯通漢芳,臺北市大同區迪化街一段92號,02-2556-7868,輪椅進出及通行無障礙 ,121.5098302,25.0560921
59,天森木材行,臺北市萬華區東園街67巷3號,02-2307-2151,輪椅進出及通行無障礙,121.4968969,25.0264879
60,台北堂餅行 - 摩那卡餅本舖,臺北市萬華區艋舺大道52號,02-2336-2024,輪椅進出及通行無障礙 ,121.5039839,25.0332872
61,老明玉香舖,臺北市萬華區貴陽街二段155號,02-2381-5569,輪椅進出及通行無障礙,121.5008314,25.0402959
62,西門町芒?冰,臺北市萬華區漢中街17號,02-2388-8511,輪椅進出及通行無障礙 ,121.5078644,25.04533404
63,兩喜號-西園店,臺北市萬華區西園路一段194號,02-2336-1129,輪椅進出及通行無障礙,121.499215,25.03614
64,冠婷批發服飾,臺北市萬華區康定路239、241號1樓,02-2308-0703,輪椅進出及通行無障礙 ,121.501364,25.0350547
65,福大同茶莊,臺北市萬華區貴陽街二段196號1樓,02-2375-6527,輪椅進出及通行無障礙 ,121.5002362,25.0400759
66,雙藍童裝babyshop,臺北市萬華區康定路346號,02-2306-3526,輪椅進出及通行無障礙 ,121.501057,25.0349466
67,巨輪家具公司,臺北市大安區文昌街309號,02-2707-3822,輪椅進出及通行無障礙,121.5570441,25.03224692
68,火鍋世家 (台北德惠店),臺北市中山區德惠街22號,02-2595-6666,輪椅進出及通行無障礙,121.5253595,25.066614
69,彩匯自助餐廳,臺北市中山區樂群二路55號1樓,02-7722-3395,輪椅進出及通行無障礙 ,121.5538967,25.0804887
