SeqNo,PKTYPE1,ZONE,PKROAD
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),南港,
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),信義,忠孝東路五段423巷
4,身心障礙專用(機車),信義,忠孝東路五段423巷
4,身心障礙專用(機車),信義,中坡南路
4,身心障礙專用(機車),信義,中坡南路
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),信義,松信路
4,身心障礙專用(機車),信義,松信路
4,身心障礙專用(機車),南港,福德街309巷
4,身心障礙專用(機車),信義,永吉路225巷32弄
4,身心障礙專用(機車),信義,松山路
4,身心障礙專用(機車),信義,永吉路
4,身心障礙專用(機車),松山,延壽街
4,身心障礙專用(機車),松山,延壽街
4,身心障礙專用(機車),南港,玉成街
4,身心障礙專用(機車),南港,玉成街
4,身心障礙專用(機車),南港,玉成街
4,身心障礙專用(機車),南港,玉成街
4,身心障礙專用(機車),南港,同德路
4,身心障礙專用(機車),松山,健康路325巷25弄
4,身心障礙專用(機車),松山,光復南路32巷
4,身心障礙專用(機車),松山,南京東路五段66巷
4,身心障礙專用(機車),松山,三民路167巷
4,身心障礙專用(機車),信義,市民大道五段
4,身心障礙專用(機車),松山,松山區南京東路五段251巷50弄
4,身心障礙專用(機車),松山,光復北路11巷
4,身心障礙專用(機車),松山,新東街11巷
4,身心障礙專用(機車),松山,民生東路4段80巷
4,身心障礙專用(機車),松山,民生東路4段80巷
4,身心障礙專用(機車),松山,民生東路4段80巷
4,身心障礙專用(機車),松山,南京東路四段52巷8弄
4,身心障礙專用(機車),松山,光復北路103巷
4,身心障礙專用(機車),松山,吉祥路
4,身心障礙專用(機車),松山,北寧路56巷
4,身心障礙專用(機車),松山,北寧路56巷
4,身心障礙專用(機車),松山,八德路4段91巷
4,身心障礙專用(機車),松山,光復北路11巷
4,身心障礙專用(機車),松山,吉祥路
4,身心障礙專用(機車),松山,吉祥路
4,身心障礙專用(機車),松山,三民路80巷
4,身心障礙專用(機車),松山,三民路80巷
4,身心障礙專用(機車),松山,延壽街72巷
4,身心障礙專用(機車),松山,延壽街72巷
4,身心障礙專用(機車),松山,三民路74巷
4,身心障礙專用(機車),松山,三民路74巷
4,身心障礙專用(機車),松山,三民路74巷
4,身心障礙專用(機車),松山,民生東路四段80巷15弄
4,身心障礙專用(機車),松山,民生東路四段80巷15弄
4,身心障礙專用(機車),松山,南京東路四段52巷8弄
4,身心障礙專用(機車),萬華,中華路二段
4,身心障礙專用(機車),萬華,水源路
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),大同,民生西路92號前
4,身心障礙專用(機車),北投,西安街2段
4,身心障礙專用(機車),萬華,西寧南路
4,身心障礙專用(機車),北投,公館路423巷8弄
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),大同,長安西路
4,身心障礙專用(機車),中山,中原街
4,身心障礙專用(機車),士林,忠義街
4,身心障礙專用(機車),萬華,水源路
4,身心障礙專用(機車),內湖,
4,身心障礙專用(機車),北投,公館路423巷8弄
4,身心障礙專用(機車),中正,重慶南路一段126巷
4,身心障礙專用(機車),士林,美崙街49巷
4,身心障礙專用(機車),北投,西安街2段
4,身心障礙專用(機車),中山,
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),北投,
4,身心障礙專用(機車),中山,吉林路
4,身心障礙專用(機車),北投,東華街一段
4,身心障礙專用(機車),萬華,中華路二段
4,身心障礙專用(機車),中正,重慶南路一段126巷
4,身心障礙專用(機車),中正,重慶南路一段126巷
4,身心障礙專用(機車),北投,中央北路二段
4,身心障礙專用(機車),北投,東華街一段
4,身心障礙專用(機車),中山,天津街
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),士林,天母東路
4,身心障礙專用(機車),松山,敦化北路201巷
4,身心障礙專用(機車),萬華,水源路
4,身心障礙專用(機車),內湖,
4,身心障礙專用(機車),中正,漢口街一段
4,身心障礙專用(機車),萬華,長沙街二段
4,身心障礙專用(機車),中正,南海路
4,身心障礙專用(機車),中山,德惠街170巷
4,身心障礙專用(機車),中山,朱崙街
4,身心障礙專用(機車),北投,文化三路
4,身心障礙專用(機車),北投,文化三路
4,身心障礙專用(機車),內湖,成功路三段
4,身心障礙專用(機車),中正,懷寧街
4,身心障礙專用(機車),中山,農安街
4,身心障礙專用(機車),大同,重慶北路一段
4,身心障礙專用(機車),萬華,大理街
4,身心障礙專用(機車),中正,忠孝西路
4,身心障礙專用(機車),中正,忠孝西路
4,身心障礙專用(機車),中正,重慶南路一段
4,身心障礙專用(機車),中正,館前路
4,身心障礙專用(機車),松山,敦化北路199巷
4,身心障礙專用(機車),松山,敦化北路199巷
4,身心障礙專用(機車),萬華,寶興街
4,身心障礙專用(機車),萬華,寶興街
4,身心障礙專用(機車),中山,新生北路三段
4,身心障礙專用(機車),中山,吉林路
4,身心障礙專用(機車),大同,酒泉街
4,身心障礙專用(機車),大同,酒泉街
4,身心障礙專用(機車),大同,酒泉街
4,身心障礙專用(機車),內湖,陽光街345巷
4,身心障礙專用(機車),萬華,桂林路
4,身心障礙專用(機車),萬華,桂林路
4,身心障礙專用(機車),中山,植福路
4,身心障礙專用(機車),大同,大龍街91巷
4,身心障礙專用(機車),大同,大龍街91巷
4,身心障礙專用(機車),大同,大龍街91巷
4,身心障礙專用(機車),內湖,內湖路三段60巷
4,身心障礙專用(機車),內湖,內湖路三段60巷
4,身心障礙專用(機車),中山,民生東路3段
4,身心障礙專用(機車),中正,南陽街
4,身心障礙專用(機車),士林,承德路四段
4,身心障礙專用(機車),萬華,大理街170巷
4,身心障礙專用(機車),萬華,大理街170巷
4,身心障礙專用(機車),松山,民權東路三段140巷
4,身心障礙專用(機車),松山,民權東路三段140巷
4,身心障礙專用(機車),士林,福華路141巷
4,身心障礙專用(機車),士林,福華路141巷
4,身心障礙專用(機車),萬華,德昌街
4,身心障礙專用(機車),內湖,瑞光路112巷
4,身心障礙專用(機車),中正,和平西路二段
4,身心障礙專用(機車),大同,歸綏街250巷
4,身心障礙專用(機車),大同,歸綏街250巷
4,身心障礙專用(機車),北投,雙全街
4,身心障礙專用(機車),北投,雙全街
4,身心障礙專用(機車),中山,龍江路
4,身心障礙專用(機車),中正,懷寧街
4,身心障礙專用(機車),中正,懷寧街
4,身心障礙專用(機車),內湖,內湖區文德路210巷
4,身心障礙專用(機車),士林,中正路
4,身心障礙專用(機車),內湖,康寧路三段99巷
4,身心障礙專用(機車),內湖,康寧路三段99巷
4,身心障礙專用(機車),內湖,康寧路三段99巷39弄
4,身心障礙專用(機車),松山,敦化南路一段100巷
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),萬華,艋舺大道
4,身心障礙專用(機車),萬華,艋舺大道
4,身心障礙專用(機車),士林,基河路
4,身心障礙專用(機車),士林,基河路
4,身心障礙專用(機車),內湖,內湖路二段
4,身心障礙專用(機車),內湖,康樂街110巷16弄
4,身心障礙專用(機車),內湖,康樂街110巷16弄
4,身心障礙專用(機車),北投,光明路
4,身心障礙專用(機車),中山,雙城街
4,身心障礙專用(機車),中山,雙城街
4,身心障礙專用(機車),萬華,峨嵋街
4,身心障礙專用(機車),萬華,峨嵋街
4,身心障礙專用(機車),大同,民族西路
4,身心障礙專用(機車),中山,五常街53巷
4,身心障礙專用(機車),萬華,西園路二段372巷
4,身心障礙專用(機車),萬華,西園路二段320巷55弄
4,身心障礙專用(機車),大同,昌吉街
4,身心障礙專用(機車),大同,昌吉街
4,身心障礙專用(機車),士林,文林路
4,身心障礙專用(機車),士林,文林路
4,身心障礙專用(機車),士林,大南路285巷
4,身心障礙專用(機車),士林,大南路285巷
4,身心障礙專用(機車),內湖,成功路四段30巷
4,身心障礙專用(機車),內湖,成功路四段30巷
4,身心障礙專用(機車),內湖,成功路四段30巷
4,身心障礙專用(機車),南港,忠孝東路六段
4,身心障礙專用(機車),南港,忠孝東路六段
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),內湖,港華街
4,身心障礙專用(機車),萬華,萬大路
4,身心障礙專用(機車),中正,武昌街一段
4,身心障礙專用(機車),內湖,東湖路113巷
4,身心障礙專用(機車),內湖,東湖路113巷
4,身心障礙專用(機車),內湖,港墘路
4,身心障礙專用(機車),萬華,康定路
4,身心障礙專用(機車),中正,延平南路
4,身心障礙專用(機車),萬華,萬大路
4,身心障礙專用(機車),中山,四平街
4,身心障礙專用(機車),中正,武昌街一段
4,身心障礙專用(機車),北投,育仁路
4,身心障礙專用(機車),北投,育仁路
4,身心障礙專用(機車),萬華,大理街
4,身心障礙專用(機車),萬華,大理街
4,身心障礙專用(機車),中正,開封街一段
4,身心障礙專用(機車),松山,富錦街
4,身心障礙專用(機車),北投,珠海路
4,身心障礙專用(機車),內湖,康寧路三段70巷
4,身心障礙專用(機車),內湖,康寧路三段70巷
4,身心障礙專用(機車),中山,民族東路410巷23弄
4,身心障礙專用(機車),內湖,內湖路一段737巷51弄
4,身心障礙專用(機車),萬華,昆明街
4,身心障礙專用(機車),中山,民生西路
4,身心障礙專用(機車),中山,長安東路二段
4,身心障礙專用(機車),內湖,五分街
4,身心障礙專用(機車),萬華,漢口街二段
4,身心障礙專用(機車),萬華,西園路二段320巷
4,身心障礙專用(機車),萬華,西園路二段320巷
4,身心障礙專用(機車),萬華,"西園路二段320巷
西園路二段320巷"
4,身心障礙專用(機車),萬華,"西園路二段320巷
西園路二段320巷"
4,身心障礙專用(機車),大同,雙連街
4,身心障礙專用(機車),大同,雙連街
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),中山,天津街
4,身心障礙專用(機車),中正,中華路二段39巷
4,身心障礙專用(機車),中正,中華路二段39巷
4,身心障礙專用(機車),中正,中華路二段39巷
4,身心障礙專用(機車),中正,中華路二段39巷
4,身心障礙專用(機車),中正,中華路二段39巷
4,身心障礙專用(機車),南港,興南街
4,身心障礙專用(機車),南港,興南街
4,身心障礙專用(機車),南港,忠孝東路六段
4,身心障礙專用(機車),萬華,開封街二段
