SEQNO,Year,name,type,business item,contact,address,telephone
1,112,財團法人心路社會福利基金會,綜合障別,職業重建服務,"劉雪蓉
陳仕閎","基金會：臺北市中山區吉林路364號4樓
辦公室：臺北市文山區萬和街8號1樓",2239-5319轉210、212
2,112,財團法人伊甸社會福利基金會,綜合障別,職業重建服務,"邱千祝
黃俊瑜","基金會(公文)臺北市文山區萬美街1段55號3樓
辦公室：臺北市南港區忠孝東路6段85號3樓",2788-2656
3,112,財團法人第一社會福利基金會,綜合障別,職業重建服務,"劉正凱
郭黛琳","基金會(公文)：臺北市信義區信義路5段150巷342弄17之7號
辦公室：臺北市信義區信義路5段150巷316號7樓",2722-4136轉880
4,112,社團法人台北市視障生活品質福利促進會,綜合障別,職業重建服務,洪建銘,臺北市大同區華陰街39號,2558-7370
5,112,台北市康復之友協會,綜合障別,職業重建服務,李冠儀 李宗翰  ,臺北市松山區八德路4段604號2樓之6,27652947轉244、243
6,112,財團法人中華民國唐氏症基金會,綜合障別,職業重建服務,曹瑋婷,"基金會(公文)：新北市三重區重新路五段609巷14號2樓之5
辦公室：臺北市大同區昌吉街110巷8號1樓",2595-1918
7,112, 中華民國腦性麻痺協會,綜合障別,職業重建服務,"蕭鎮祥
劉于綺",臺北市中山區民生東路1段42號5樓之5,2898-5509
8,112,財團法人育成社會福利基金會,綜合障別,職業重建服務,王彤庠 楊瑾?,"基金會(公文)：臺北市大安區建國南路1段319號2樓
辦公室：臺北市大安區建國南路1段175巷31號1樓","基金會：2706-2686
辦公室：8773-8327轉18、12"
9,112,財團法人喜憨兒社會福利基金會,綜合障別,職業重建服務,陳雅雯 林揚,"基金會(公文)：臺北市信義區信義路四段415號6樓
辦公室：臺北市中山區長安東路2段169之12號13樓之1",2720-2371轉10、23
10,112,社團法人台北市視障者家長協會,綜合障別,職業重建服務,江盛維,臺北市松山區敦化北路155巷76號1樓,2717-7722轉55
11,112,社團法人臺灣職能治療學會,綜合障別,職業輔導評量服務,林小姐,臺北市中正區忠孝東路2段122號11樓之2,(02)2391-1006
12,112,國立陽明交通大學,綜合障別,職務再設計,王小姐,台北市北投區石牌路2段322號B1(多功能輔具資源中心),2874-3415分機227
13,112,社團法人中華民國腦性麻痺協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,100年 6月13 日,臺北市北投區三合街2段427號1樓,暫不提供
14,112,財團法人伊甸社會福利基金會附設台北市私立恩望身心障礙者人力資源服務中心,綜合障別,立案之就業服務機構,100年 9 月 19 日,臺北市南港區忠孝東路6段85號3樓,暫不提供
15,112,財團法人心路社會福利基金會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101 年 1 月 6 日,臺北市文山區萬和街8號,暫不提供
16,112,財團法人育成社會福利基金會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101 年 1 月 18 日,臺北市大安區建國南路1段175巷33號1樓,暫不提供
17,112,臺北市立聯合醫院附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101 年 2 月 16 日,臺北市大同區鄭州路145號（中興院區）、臺北市信義區松德路309號（松德院區）,暫不提供
18,112,愛加倍社會福利關懷協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101 年 2 月 21 日,臺北市大同區昌吉街55號2樓205室,暫不提供
19,112,財團法人第一社會福利基金會附設第一身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101 年 2 月 22 日,臺北市信義路5段150巷316號7樓,暫不提供
20,112,社團法人中華民國視障經穴按摩推廣協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101年 3 月13 日,臺北市大同區雙連街11巷21號1樓,暫不提供
21,112,社團法人中華民國聽障人協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101年 4 月 17 日,臺北市士林區承德路4段58巷10弄6號1樓,暫不提供
22,112,社團法人台北市視障生活品質福利促進會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101年 5 月 31 日,臺北市大同區華陰街39號,暫不提供
23,112,台北榮民總醫院附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101年 11 月 16日,臺北市石牌路2段201號,暫不提供
24,112,台北市自閉症家長協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101年 11 月 16日,臺北市大同區延平北路4段115號1樓 ,暫不提供
25,112,社團法人台北市康復之友協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,101年 11 月 26日,臺北市松山區八德路4段604號2樓之6,暫不提供
26,112,財團法人中華民國唐氏症基金會附設麟光身心障礙者就業服務中心,綜合障別,立案之就業服務機構,102年 3 月 8 日,臺北市信義區和平東路3段391巷19號1樓,暫不提供
27,112,社團法人台北市視障者家長協會附設身心障礙者就業服務中心　,綜合障別,立案之就業服務機構,102年6月4日,臺北市松山區敦化北路155巷76號1樓,暫不提供
28,112,財團法人喜憨兒社會福利基金會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,106年9月27日,臺北市信義區仁愛路4段452巷13號1樓,暫不提供
29,112,ENJOY臺北餐廳,綜合障別,餐飲業,許小姐,臺北市信義區市府路1號1樓,2720-5208
30,112,"勝利基金會辦理樸樹咖啡捷運古亭店
(捷運古亭庇護工場)",綜合障別,餐飲業,謝佳男,臺北市中正區羅斯福路2段164-1號,2368-9093
31,112,"EasyCoffee
(捷運善導寺庇護工場)",綜合障別,餐飲業,王鵬驊,臺北市中正區忠孝東路1段58號B1,2395-6102
32,112,"快樂小舖
(捷運南勢角庇護工場)",綜合障別,零售業,王錫陽,新北市中和區捷運路6號B3F,2943-3994
33,112,"樂芽一號庇護工場
(富陽1店庇護工場)",綜合障別,食品製迼業、批發及零售業,李林璘,臺北市信義區和平東路3段341巷3號1樓,8732-8101
34,112,"有度立體書店
(富陽2店庇護工場)",綜合障別,印刷品裝訂、圖書出版業、零售業,黃大明,臺北市信義區和平東路3段341巷7號1樓,8732-4909
35,112,"育成洗車中心
(建忠庇護工場)",綜合障別,汽車美容、清潔用品零售業、未分類其他食品、飲料及箊草製品零售,"鄭育明
尤玉慧",臺北市大安區建國南路、濟南路口高架橋下,"2711-5842
2740-7418"
36,112,"光仁二手商品館大直店
(捷運大直庇護工場)",綜合障別,零售業,謝佩樺,臺北市中山區北安路534-1號,8509-8601
37,112,"育成蕃薯藤
(忠孝庇護工場)",綜合障別,餐飲業、西點麵包零售、清潔用品零售業、未分類其他食品、飲料及箊草製品零售,黃正珀,臺北市大安區建國南路一段181號,2752-1785
38,112,"地熱谷小舖
(地熱谷庇護工場)",綜合障別,零售業,趙哲晨,臺北市北投區中山路30-10號2樓,2895-0556
39,112,"愛不囉嗦庇護工場南港店
(捷運南港展覽館庇護工場)",綜合障別,食品製造業、零售業?,王文芳,臺北市南港區研究院路1段1號B2(捷運南港展覽館站6號出口內),2653-8321
40,112,樂芽永續股份有限公司青年1庇護工場,綜合障別,食品製造業、批發及零售業,倪佩玲,臺北市萬華區青年路152巷6號,7752-2518
41,112,樂芽永續股份有限公司青年2庇護工場,綜合障別,食品製造業、批發及零售業,倪佩玲,臺北市萬華區青年路152巷14號,7752-2518
